username,date,content
narendramodi,2019-07-31,"Other issues discussed during PRAGATI include progress in Sugamya Bharat Abhiyan, improving accessibility across India, furthering water conservation and infrastructure projects in various states."
narendramodi,2019-07-31,"Healthy India, developed India. During PRAGATI, had extensive discussions on Ayushman Bharat. It is a matter of satisfaction that over 35 lakh beneficiaries availed free treatment in hospitals under PMJAY. We are focusing on ways to improve coverage in Aspirational Districts."
narendramodi,2019-07-31,"Today’s PRAGATI session, the first of the new term, witnessed excellent discussions on multiple policy issues. We had in-depth reviews on ways to fulfil the vision of ‘Housing for All.’ 
narendramodi,2019-07-31,This is an occasion to salute the remarkable courage of those Muslim women who have suffered great wrongs just due to the practice of Triple Talaq. The abolition of Triple Talaq will contribute to women empowerment and give women the dignity they deserve in our society.
narendramodi,2019-07-30,"I thank all parties and MPs who have supported the passage of The Muslim Women (Protection of Rights on Marriage) Bill, 2019 in both Houses of Parliament. They have risen to the occasion and this step of theirs will forever be remembered in India’s history."
narendramodi,2019-07-30,An archaic and medieval practice has finally been confined to the dustbin of history! Parliament abolishes Triple Talaq and corrects a historical wrong done to Muslim women. This is a victory of gender justice and will further equality in society. India rejoices today!
narendramodi,2019-07-30,"A welcome step, which will enable more people to visit these places and discover aspects of #IncredibleIndia."
narendramodi,2019-07-29,"India- where you find lush green forests, diverse wildlife, beautiful mountains and mighty rivers. Watching this programme will make you want to visit different parts of India and add to discourse of environmental conservation. Thanks @BearGrylls for coming here! @DiscoveryIN"
narendramodi,2019-07-29,Development and the environment are not mutually exclusive. India will progress economically and take the lead in protecting the environment. #InternationalTigerDay
narendramodi,2019-07-29,"A commitment fulfilled, that too well in advance! It was decided to work towards doubling the tiger population by 2022 but India achieved this 4 years in advance! India is proud to be home to almost 75% of the global tiger population. #InternationalTigerDay"
narendramodi,2019-07-29,Releasing the results of All India Tiger Estimation. #InternationalTigerDay https://pscp.tv/w/cA5qIjMyMjExNTJ8MVprSnpyYmFvRWVKdjRJKNt0q-RPPQibudWvYEzrAESSwG8e--4y96AF91iV
narendramodi,2019-07-29,"Today, on #InternationalTigerDay, the All India Tiger Estimation 2018 will be released. The Government of India is committed to taking all possible steps and supporting all efforts to protect the tiger. Do watch the programme. It begins at around 9:30 AM."
narendramodi,2019-07-28,"My dear young friends, Know more about an interesting quiz, which can take you to Sriharikota to witness the landing of Chandrayaan-2 on the moon. #MannKiBaat"
narendramodi,2019-07-28,"Exceptional warriors, great champions! Here is why the accomplishments of these children will make every Indian proud. #MannKiBaat"
narendramodi,2019-07-27,Don’t miss this excellent performance by school children and melodious rendition of Vande Mataram by the Shillong Chamber Choir.
narendramodi,2019-07-27,Remembering the heroes of Kargil. Watch.
narendramodi,2019-07-26,"During the Kargil War in 1999, I had the opportunity to go to Kargil and show solidarity with our brave soldiers. This was the time when I was working for my Party in J&K as well as Himachal Pradesh.The visit to Kargil and interactions with soldiers are unforgettable."
